PK_ID_DEPARTAMENTOS,NOME_DP,SIGLA,,,,,,,,
1,SUCESSO DO ESTUDANTE,SA,(,1,",",'SUCESSO DO ESTUDANTE',",",'SA',),","
2,FACILITAÇÃO SOFT,FS,(,2,",",'FACILITAÇÃO SOFT',",",'FS',),","
3,JURIDICO,J,(,3,",",'JURIDICO',",",'J',),","
4,FINANCEIRO,F,(,4,",",'FINANCEIRO',",",'F',),","
5,PSICOLÓGICO,P,(,5,",",'PSICOLÓGICO',",",'P',),","
6,FACILITAÇÃO TECH,FT,(,6,",",'FACILITAÇÃO TECH',",",'FT',),","
7,COMUNICAÇÃO E MARKETING,CM,(,7,",",'COMUNICAÇÃO E MARKETING',",",'CM',),","
8,EMPREGABILIDADE,E,(,8,",",'EMPREGABILIDADE',",",'E',),","
9,MONITORIA,M,(,9,",",'MONITORIA',",",'M',),","
10,ALUNO,A,(,10,",",'ALUNO',",",'A',),","
